ああ	ああ	N5
あそこ	あそこ	N5
あちこち	あちこち	N4
あっさり	あっさり	N2
あなた	あなた	N5
ありがとう	ありがとう	N4
あれ	あれ	N5
いかが	いかが	N5
いくら	イクラ	N4
いけない	いけない	N4
いただきます	いただきます	N4
いつか	いつか	N3
いつまでも	いつまでも	N3
いつも	いつも	N5
うがい	うがい	N4
うち	うち	N5
うっかり	うっかり	N4
うなる	うなる	N3
うるさい	うるさい	N5
ええ	ええ	N5
お兄さん	おにいさん	N5
お前	おまえ	N4
お土産	おみやげ	N4
お姉さん	おねえさん	N5
お嬢さん	おじょうさん	N4
お宅	おたく	N4
お弁当	おべんとう	N5
お手洗い	おてあらい	N5
お昼	おひる	N4
お母さん	おかあさん	N5
お洒落	おしゃれ	N4
お父さん	おとうさん	N5
お礼	おれい	N4
お祝い	おいわい	N4
お腹	おなか	N5
お茶	おちゃ	N5
お菓子	おかし	N4
お風呂	おふろ	N4
かかる	かかる	N5
かなり	かなり	N3
かりに	かりに	N2
がっかり	がっかり	N4
きちんと	きちんと	N4
きっかけ	きっかけ	N3
きっと	きっと	N4
きつい	きつい	N4
くれる	くれる	N4
ぐっすり	ぐっすり	N4
こう	こう	N4
この間	このあいだ	N4
この頃	このごろ	N4
これから	これから	N4
こんなに	こんなに	N4
ごみ	ごみ	N4
ご主人	ごしゅじん	N4
ご存じ	ごぞんじ	N4
さっぱり	さっぱり	N4
さ来年	さらいねん	N5
ざっと	ざっと	N4
しっかり	しっかり	N4
じっと	じっと	N4
すぐに	すぐに	N5
すっかり	すっかり	N4
すっと	すっと	N4
すり	すり	N4
ずっと	ずっと	N4
ずれ	ずれ	N2
ずれる	ずれる	N4
せい	せい	N4
そう	そう	N4
そっくり	そっくり	N4
そっと	そっと	N4
そのため	そのため	N3
そのまま	そのまま	N3
それ	それ	N5
そろそろ	そろそろ	N4
そんなに	そんなに	N4
たい	たい	N4
たしか	たしか	N4
ただ	ただ	N4
たっぷり	たっぷり	N4
たとえ	たとえ	N4
たまらない	たまらない	N3
たり	たり	N4
だと	だと	N2
だめ	だめ	N4
だらけ	だらけ	N4
ちっとも	ちっとも	N4
ちゃんと	ちゃんと	N4
ちょっと	ちょっと	N5
つい	つい	N4
ついで	ついで	N3
つける	つける	N5
つもり	つもり	N4
できる	できる	N5
できるだけ	できるだけ	N4
と	と	N4
とうとう	とうとう	N4
ところが	ところが	N3
ところで	ところで	N4
とって	とって	N2
とっても	とても	N4
とても	とても	N5
とにかく	とにかく	N4
ともかく	ともかく	N3
どう	どう	N5
どうして	どうして	N5
どうしても	どうしても	N4
どうぞ	どうぞ	N5
どうも	どうも	N5
どこ	どこ	N5
どこか	どこか	N4
どんどん	どんどん	N4
どんなに	どんなに	N4
なぜ	なぜ	N5
なる	なる	N5
にっこり	にっこり	N4
のんびり	のんびり	N4
はず	はず	N4
はっきり	はっきり	N4
ぴったり	ぴったり	N4
ぶつかる	ぶつかる	N4
ほっと	ほっと	N4
ほとんど	ほとんど	N4
まあ	まあ	N4
まく	まく	N3
まさか	まさか	N4
まして	まして	N2
まず	まず	N4
また	また	N5
まだ	まだ	N5
まと	まと	N2
まとめ	まとめ	N4
まとめる	まとめる	N4
まま	まま	N4
まるで	まるで	N4
みたい	みたい	N4
みんな	みんな	N5
もう	もう	N5
もし	もし	N4
もしかすると	もしかすると	N4
もしも	もしも	N4
もちろん	もちろん	N4
もっと	もっと	N5
もらう	もらう	N4
やや	やや	N4
やる	やる	N5
よく	よく	N5
より	より	N4
よろしい	よろしい	N4
わざと	わざと	N4
アイスクリーム	アイスクリーム	N4
アクセサリー	アクセサリー	N4
アジア	アジア	N4
アップ	アップ	N4
アナウンサー	アナウンサー	N4
アパート	アパート	N5
アプリ	アプリ	N4
アルコール	アルコール	N4
アルバイト	アルバイト	N4
アルバム	アルバム	N4
アンケート	アンケート	N4
イタリア	イタリア	N4
イベント	イベント	N4
イメージ	イメージ	N4
インク	インク	N4
インタビュー	インタビュー	N4
ウイスキー	ウイスキー	N4
エア	エア	N4
エアコン	エアコン	N4
エスカレーター	エスカレーター	N4
エネルギー	エネルギー	N4
エレベーター	エレベーター	N5
エンジン	エンジン	N4
オフィス	オフィス	N4
オンライン	オンライン	N2
オートバイ	オートバイ	N4
オーバー	オーバー	N4
カップ	カップ	N5
カメラ	カメラ	N5
カレンダー	カレンダー	N5
カー	カー	N4
カーテン	カーテン	N4
カード	カード	N4
ガス	ガス	N4
ガソリン	ガソリン	N4
ガソリンスタンド	ガソリンスタンド	N4
ガラス	ガラス	N4
キャプテン	キャプテン	N4
キャンセル	キャンセル	N4
キャンプ	キャンプ	N4
ギター	ギター	N5
クラシック	クラシック	N4
クラス	クラス	N5
クリスマス	クリスマス	N4
クリーム	クリーム	N4
グラス	グラス	N4
グラム	グラム	N5
グランド	グランド	N4
グループ	グループ	N4
ケーキ	ケーキ	N4
ケース	ケース	N4
ゲーム	ゲーム	N4
コップ	コップ	N5
コンサート	コンサート	N4
コンテスト	コンテスト	N4
コンピュータ	コンピュータ	N4
コンピューター	コンピュータ	N4
コーチ	コーチ	N4
コート	コート	N5
コード	コード	N4
コーヒー	コーヒー	N5
ゴール	ゴール	N4
ゴールド	ゴールド	N4
サイズ	サイズ	N2
サイン	サイン	N4
サラダ	サラダ	N4
サンダル	サンダル	N4
サンドイッチ	サンドイッチ	N4
サービス	サービス	N4
シャツ	シャツ	N5
シャワー	シャワー	N5
ショック	ショック	N4
シルバー	シルバー	N4
ジェット機	ジェットき	N4
ジャム	ジャム	N4
ジュース	ジュース	N4
ジーンズ	ジーンズ	N4
スイッチ	スイッチ	N4
スカート	スカート	N5
スキー	スキー	N4
スクリーン	スクリーン	N4
スケジュール	スケジュール	N4
スケート	スケート	N4
スタイル	スタイル	N4
スタンド	スタンド	N4
スター	スター	N4
ステレオ	ステレオ	N4
ステーキ	ステーキ	N4
スト	スト	N2
ストレス	ストレス	N4
ストーブ	ストーブ	N5
スピーチ	スピーチ	N4
スプーン	スプーン	N5
スポーツ	スポーツ	N5
スーツ	スーツ	N4
スーツケース	スーツケース	N4
スーパー	スーパー	N4
スープ	スープ	N4
ズボン	ズボン	N5
セット	セット	N4
セル	セル	N4
センター	センター	N4
セーター	セーター	N5
セール	セール	N2
ゼロ	ゼロ	N5
ソフト	ソフト	N4
タイ	タイ	N4
タイトル	タイトル	N4
タイプ	タイプ	N4
タイプライター	タイプライター	N4
タオル	タオル	N4
タクシー	タクシー	N5
ダイヤ	ダイヤ	N4
ダウン	ダウン	N4
ダンス	ダンス	N4
チャイム	チャイム	N4
チャンス	チャンス	N4
チーズ	チーズ	N4
チーム	チーム	N4
テキスト	テキスト	N4
テスト	テスト	N5
テニス	テニス	N4
テレビ	テレビ	N5
テント	テント	N4
テーブル	テーブル	N5
テープ	テープ	N5
テーマ	テーマ	N3
デザイン	デザイン	N4
デザート	デザート	N4
デパート	デパート	N5
デモ	デモ	N4
デー	デー	N4
データ	データ	N4
デート	デート	N4
トイレ	トイレ	N5
トップ	トップ	N4
トラック	トラック	N4
トランプ	トランプ	N4
トレーニング	トレーニング	N4
トン	トン	N4
トンネル	トンネル	N4
ドア	ドア	N5
ドライブ	ドライブ	N4
ドラマ	ドラマ	N4
ドレス	ドレス	N4
ナイフ	ナイフ	N5
ニュー	ニュー	N2
ニュース	ニュース	N5
ネクタイ	ネクタイ	N5
ネット	ネット	N4
ノック	ノック	N4
ノート	ノート	N5
ハイキング	ハイキング	N4
ハンカチ	ハンカチ	N5
ハンサム	ハンサム	N4
ハンバーグ	ハンバーグ	N4
バイオリン	バイオリン	N4
バス	バス	N5
バター	バター	N5
バッグ	バッグ	N4
バランス	バランス	N4
バー	バー	N2
パイプ	パイプ	N4
パイロット	パイロット	N4
パス	パス	N4
パスポート	パスポート	N4
パソコン	パソコン	N4
パパ	パパ	N4
パン	パン	N5
パンク	パンク	N2
パーセント	パーセント	N4
パーティー	パーティー	N5
ビデオ	ビデオ	N4
ビル	ビル	N4
ビール	ビール	N4
ピアノ	ピアノ	N4
ピクニック	ピクニック	N4
ピン	ピン	N4
フィルム	フィルム	N5
フォーク	フォーク	N5
ブレーキ	ブレーキ	N4
プラス	プラス	N4
プラスチック	プラスチック	N4
プラン	プラン	N4
プレゼント	プレゼント	N4
プロ	プロ	N4
プール	プール	N5
ベッド	ベッド	N5
ベル	ベル	N4
ベルト	ベルト	N4
ベンチ	ベンチ	N4
ペット	ペット	N5
ペン	ペン	N5
ホテル	ホテル	N5
ホーム	ホーム	N4
ボタン	ボタン	N5
ボーイ	ボーイ	N4
ボート	ボート	N4
ボール	ボール	N4
ボールペン	ボールペン	N5
ポイント	ポイント	N2
ポケット	ポケット	N5
ポスト	ポスト	N5
ポート	ポート	N4
マイク	マイク	N4
マイナス	マイナス	N4
マスコミ	マスコミ	N4
マスター	マスター	N4
マッサージ	マッサージ	N4
マッチ	マッチ	N5
ママ	ママ	N4
マーケット	マーケット	N4
ミス	ミス	N4
ミルク	ミルク	N4
メッセージ	メッセージ	N4
メニュー	メニュー	N3
メモ	メモ	N4
メンバー	メンバー	N4
メートル	メートル	N5
メール	メール	N4
ユーモア	ユーモア	N4
ヨット	ヨット	N4
ヨーロッパ	ヨーロッパ	N4
ライター	ライター	N4
ライン	ライン	N4
ラケット	ラケット	N4
ラジオ	ラジオ	N5
ラス	ラス	N4
ラベル	ラベル	N4
リア	リア	N4
リス	リス	N4
リスト	リスト	N4
ルー	ルー	N4
ループ	ループ	N4
ルール	ルール	N4
レコード	レコード	N5
レジ	レジ	N4
レストラン	レストラン	N5
レベル	レベル	N4
レポート	レポート	N4
ロケット	ロケット	N4
ワイン	ワイン	N4
ワープロ	ワープロ	N4
一	いち	N5
一つ	ひとつ	N5
一人	ひとり	N5
一人一人	ひとりひとり	N4
一体	いったい	N4
一家	いっか	N4
一帯	いったい	N4
一度	いちど	N4
一度に	いちどに	N4
一斉	いっせい	N2
一方	いっぽう	N4
一日	いちにち	N5
一日	ついたち	N5
一昨日	おととい	N5
一時	いちじ	N4
一時	ひととき	N4
一月	ひとつき	N5
一杯	いっぱい	N4
一生	いっしょう	N4
一生懸命	いっしょうけんめい	N4
一番	いちばん	N5
一種	いっしゅ	N4
一緒	いっしょ	N5
一般	いっぱん	N3
一言	ひとこと	N4
一部	いちぶ	N4
丁寧	ていねい	N4
丁度	ちょうど	N5
七	しち	N5
七つ	ななつ	N5
七日	なのか	N5
万	まん	N5
万一	まんいち	N4
万年筆	まんねんひつ	N5
丈夫	じょうぶ	N5
三	さん	N5
三つ	みっつ	N5
三日	みっか	N5
上	うえ	N5
上	かみ	N4
上	じょう	N4
上がり	あがり	N2
上がる	あがる	N4
上げ	あげ	N4
上げる	あげる	N5
上る	のぼる	N4
上京	じょうきょう	N4
上司	じょうし	N4
上着	うわぎ	N5
上等	じょうとう	N4
上達	じょうたつ	N4
下	した	N5
下げる	さげる	N4
下す	おろす	N4
下り	くだり	N4
下りる	おりる	N4
下る	くだる	N4
下る	さがる	N4
下宿	げしゅく	N4
下手	へた	N5
下着	したぎ	N4
不便	ふべん	N4
不利	ふり	N4
不可	ふか	N4
不安	ふあん	N4
不平	ふへい	N4
不幸	ふこう	N4
不思議	ふしぎ	N4
不正	ふせい	N4
不満	ふまん	N4
不自由	ふじゆう	N4
不良	ふりょう	N2
不足	ふそく	N4
不通	ふつう	N4
与える	あたえる	N3
世	よ	N4
世の中	よのなか	N4
世界	せかい	N4
世間	せけん	N4
両方	りょうほう	N4
両親	りょうしん	N5
並ぶ	ならぶ	N5
並べる	ならべる	N5
中	ちゅう	N4
中	なか	N5
中々	なかなか	N4
中古	ちゅうこ	N4
中味	なかみ	N4
中央	ちゅうおう	N4
中学	ちゅうがく	N4
中学校	ちゅうがっこう	N4
中心	ちゅうしん	N4
中止	ちゅうし	N4
中身	なかみ	N4
中途	ちゅうと	N2
丸	まる	N4
主に	おもに	N4
主要	しゅよう	N4
主語	しゅご	N3
主題	しゅだい	N2
久しぶり	ひさしぶり	N4
乗せる	のせる	N4
乗り	のり	N4
乗り換える	のりかえる	N4
乗り物	のりもの	N4
乗客	じょうきゃく	N4
九	きゅう	N5
九つ	ここのつ	N5
九日	ここのか	N5
乾く	かわく	N4
予報	よほう	N4
予想	よそう	N4
予期	よき	N4
予測	よそく	N4
予算	よさん	N4
予約	よやく	N4
予習	よしゅう	N4
争う	あらそう	N4
事	こと	N4
事務所	じむしょ	N4
事実	じじつ	N4
事故	じこ	N4
事業	じぎょう	N2
二	に	N5
二つ	ふたつ	N5
二人	ふたり	N5
二十日	はつか	N5
二十歳	はたち	N4
二日	ふつか	N5
五	ご	N5
五つ	いつつ	N5
五日	いつか	N5
亡くなる	なくなる	N4
交ざる	まざる	N4
交じる	まじる	N4
交ぜる	まぜる	N4
交差点	こうさてん	N5
交換	こうかん	N3
交番	こうばん	N5
交通	こうつう	N4
人	ひと	N5
